window_id,sample_start,sample_end,n_eval,correct_estimated,interval_acc,cumulative_correct_estimated,cumulative_n_eval,cumulative_acc
1,1024,1123,100.0,68.5,0.685000,68.5,100.0,0.685000
2,1124,1223,100.0,76.5,0.765000,145.0,200.0,0.725000
3,1224,1323,100.0,85.75,0.857500,230.75,300.0,0.769167
4,1324,1423,100.0,72.25,0.722500,303.0,400.0,0.757500
5,1424,1523,100.0,82.25,0.822500,385.25,500.0,0.770500
6,1524,1623,100.0,83.25,0.832500,468.5,600.0,0.780833
7,1624,1723,100.0,83.25,0.832500,551.75,700.0,0.788214
8,1724,1823,100.0,78.25,0.782500,630.0,800.0,0.787500
9,1824,1923,100.0,81.75,0.817500,711.75,900.0,0.790833
10,1924,2023,100.0,89.25,0.892500,801.0,1000.0,0.801000
11,2024,2123,100.0,88.25,0.882500,889.25,1100.0,0.808409
12,2124,2223,100.0,89.75,0.897500,979.0,1200.0,0.815833
13,2224,2323,100.0,84.75,0.847500,1063.75,1300.0,0.818269
14,2324,2423,100.0,93.75,0.937500,1157.5,1400.0,0.826786
15,2424,2523,100.0,89.25,0.892500,1246.75,1500.0,0.831167
16,2524,2623,100.0,86.25,0.862500,1333.0,1600.0,0.833125
17,2624,2723,100.0,90.25,0.902500,1423.25,1700.0,0.837206
18,2724,2823,100.0,90.75,0.907500,1514.0,1800.0,0.841111
19,2824,2923,100.0,84.75,0.847500,1598.75,1900.0,0.841447
20,2924,3023,100.0,84.25,0.842500,1683.0,2000.0,0.841500
21,3024,3123,100.0,85.0,0.850000,1768.0,2100.0,0.841905
22,3124,3223,100.0,85.5,0.855000,1853.5,2200.0,0.842500
23,3224,3323,100.0,91.0,0.910000,1944.5,2300.0,0.845435
24,3324,3423,100.0,87.5,0.875000,2032.0,2400.0,0.846667
25,3424,3523,100.0,92.25,0.922500,2124.25,2500.0,0.849700
26,3524,3623,100.0,90.75,0.907500,2215.0,2600.0,0.851923
27,3624,3723,100.0,96.25,0.962500,2311.25,2700.0,0.856019
28,3724,3823,100.0,88.75,0.887500,2400.0,2800.0,0.857143
29,3824,3923,100.0,94.75,0.947500,2494.75,2900.0,0.860259
30,3924,4023,100.0,94.25,0.942500,2589.0,3000.0,0.863000
31,4024,4123,100.0,92.5,0.925000,2681.5,3100.0,0.865000
32,4124,4223,100.0,91.5,0.915000,2773.0,3200.0,0.866563
33,4224,4323,100.0,90.5,0.905000,2863.5,3300.0,0.867727
34,4324,4423,100.0,89.0,0.890000,2952.5,3400.0,0.868382
35,4424,4523,100.0,90.5,0.905000,3043.0,3500.0,0.869429
36,4524,4623,100.0,95.0,0.950000,3138.0,3600.0,0.871667
37,4624,4723,100.0,96.0,0.960000,3234.0,3700.0,0.874054
38,4724,4823,100.0,89.0,0.890000,3323.0,3800.0,0.874474
39,4824,4923,100.0,89.5,0.895000,3412.5,3900.0,0.875000
40,4924,5023,100.0,89.5,0.895000,3502.0,4000.0,0.875500
41,5024,5123,100.0,86.75,0.867500,3588.75,4100.0,0.875305
42,5124,5223,100.0,86.25,0.862500,3675.0,4200.0,0.875000
43,5224,5323,100.0,92.5,0.925000,3767.5,4300.0,0.876163
44,5324,5423,100.0,88.5,0.885000,3856.0,4400.0,0.876364
45,5424,5523,100.0,86.25,0.862500,3942.25,4500.0,0.876056
46,5524,5623,100.0,84.75,0.847500,4027.0,4600.0,0.875435
47,5624,5723,100.0,84.5,0.845000,4111.5,4700.0,0.874787
48,5724,5823,100.0,94.5,0.945000,4206.0,4800.0,0.876250
49,5824,5923,100.0,83.75,0.837500,4289.75,4900.0,0.875459
50,5924,6023,100.0,88.25,0.882500,4378.0,5000.0,0.875600
51,6024,6123,100.0,83.75,0.837500,4461.75,5100.0,0.874853
52,6124,6223,100.0,92.25,0.922500,4554.0,5200.0,0.875769
53,6224,6323,100.0,89.0,0.890000,4643.0,5300.0,0.876038
54,6324,6423,100.0,76.5,0.765000,4719.5,5400.0,0.873981
55,6424,6523,100.0,78.0,0.780000,4797.5,5500.0,0.872273
