sample_block_idx,sample_start,sample_end_exclusive,total_rows,skipped_samples,evaluated_samples,correct,interval_acc,cumulative_evaluated_samples,cumulative_correct,cumulative_acc
1,0,100,100,100,0,0,,0,0.0,
2,100,200,100,100,0,0,,0,0.0,
3,200,300,100,100,0,0,,0,0.0,
4,300,400,100,100,0,0,,0,0.0,
5,400,500,100,100,0,0,,0,0.0,
6,500,600,100,100,0,0,,0,0.0,
7,600,700,100,100,0,0,,0,0.0,
8,700,800,100,100,0,0,,0,0.0,
9,800,900,100,100,0,0,,0,0.0,
10,900,1000,100,100,0,0,,0,0.0,
11,1000,1100,100,100,0,0,,0,0.0,
12,1100,1200,100,100,0,0,,0,0.0,
13,1200,1300,100,100,0,0,,0,0.0,
14,1300,1400,100,100,0,0,,0,0.0,
15,1400,1500,100,100,0,0,,0,0.0,
16,1500,1600,100,0,100,95,0.95,100,95.0,0.95
17,1600,1700,100,0,100,99,0.99,200,194.0,0.97
18,1700,1800,100,0,100,93,0.93,300,287.0,0.9566666666666667
19,1800,1900,100,0,100,97,0.97,400,384.0,0.96
20,1900,2000,100,0,100,93,0.93,500,477.0,0.954
21,2000,2100,100,0,100,92,0.92,600,569.0,0.9483333333333334
22,2100,2200,100,0,100,93,0.93,700,662.0,0.9457142857142857
23,2200,2300,100,0,100,94,0.94,800,756.0,0.945
24,2300,2400,100,0,100,100,1.0,900,856.0,0.9511111111111111
25,2400,2500,100,0,100,92,0.92,1000,948.0,0.948
26,2500,2600,100,0,100,97,0.97,1100,1045.0,0.95
27,2600,2700,100,0,100,95,0.95,1200,1140.0,0.95
28,2700,2800,100,0,100,92,0.92,1300,1232.0,0.9476923076923077
29,2800,2900,100,0,100,97,0.97,1400,1329.0,0.9492857142857143
30,2900,3000,100,0,100,99,0.99,1500,1428.0,0.952
31,3000,3100,100,0,100,97,0.97,1600,1525.0,0.953125
32,3100,3200,100,0,100,95,0.95,1700,1620.0,0.9529411764705882
33,3200,3300,100,0,100,95,0.95,1800,1715.0,0.9527777777777777
34,3300,3400,100,0,100,97,0.97,1900,1812.0,0.9536842105263158
35,3400,3500,100,0,100,94,0.94,2000,1906.0,0.953
36,3500,3600,100,0,100,99,0.99,2100,2005.0,0.9547619047619048
37,3600,3700,100,0,100,99,0.99,2200,2104.0,0.9563636363636364
38,3700,3800,100,0,100,99,0.99,2300,2203.0,0.9578260869565217
39,3800,3900,100,0,100,97,0.97,2400,2300.0,0.9583333333333334
40,3900,4000,100,0,100,100,1.0,2500,2400.0,0.96
41,4000,4100,100,0,100,95,0.95,2600,2495.0,0.9596153846153846
42,4100,4200,100,0,100,95,0.95,2700,2590.0,0.9592592592592593
43,4200,4300,100,0,100,97,0.97,2800,2687.0,0.9596428571428571
44,4300,4400,100,0,100,95,0.95,2900,2782.0,0.9593103448275863
45,4400,4500,100,0,100,98,0.98,3000,2880.0,0.96
46,4500,4600,100,0,100,92,0.92,3100,2972.0,0.9587096774193549
47,4600,4700,100,0,100,95,0.95,3200,3067.0,0.9584375
48,4700,4800,100,0,100,96,0.96,3300,3163.0,0.9584848484848485
49,4800,4900,100,0,100,97,0.97,3400,3260.0,0.9588235294117647
50,4900,5000,100,0,100,95,0.95,3500,3355.0,0.9585714285714285
51,5000,5100,100,0,100,93,0.93,3600,3448.0,0.9577777777777777
52,5100,5200,100,0,100,96,0.96,3700,3544.0,0.9578378378378378
53,5200,5300,100,0,100,93,0.93,3800,3637.0,0.9571052631578948
54,5300,5400,100,0,100,96,0.96,3900,3733.0,0.9571794871794872
55,5400,5500,100,0,100,98,0.98,4000,3831.0,0.95775
56,5500,5600,100,0,100,95,0.95,4100,3926.0,0.9575609756097561
57,5600,5700,100,0,100,97,0.97,4200,4023.0,0.9578571428571429
58,5700,5800,100,0,100,98,0.98,4300,4121.0,0.9583720930232558
59,5800,5900,100,0,100,94,0.94,4400,4215.0,0.9579545454545455
60,5900,6000,100,0,100,96,0.96,4500,4311.0,0.958
61,6000,6100,100,0,100,95,0.95,4600,4406.0,0.9578260869565217
62,6100,6200,100,0,100,94,0.94,4700,4500.0,0.9574468085106383
63,6200,6300,100,0,100,94,0.94,4800,4594.0,0.9570833333333333
64,6300,6400,100,0,100,97,0.97,4900,4691.0,0.9573469387755102
65,6400,6500,100,0,100,96,0.96,5000,4787.0,0.9574
66,6500,6600,100,0,100,89,0.89,5100,4876.0,0.956078431372549
67,6600,6700,100,0,100,93,0.93,5200,4969.0,0.9555769230769231
68,6700,6800,100,0,100,97,0.97,5300,5066.0,0.9558490566037736
69,6800,6900,100,0,100,94,0.94,5400,5160.0,0.9555555555555556
70,6900,7000,100,0,100,92,0.92,5500,5252.0,0.9549090909090909
71,7000,7100,100,0,100,93,0.93,5600,5345.0,0.9544642857142858
72,7100,7200,100,0,100,89,0.89,5700,5434.0,0.9533333333333334
73,7200,7300,100,0,100,94,0.94,5800,5528.0,0.953103448275862
74,7300,7400,100,0,100,97,0.97,5900,5625.0,0.9533898305084746
75,7400,7500,100,0,100,97,0.97,6000,5722.0,0.9536666666666667
76,7500,7600,100,0,100,97,0.97,6100,5819.0,0.9539344262295082
77,7600,7700,100,0,100,98,0.98,6200,5917.0,0.9543548387096774
78,7700,7800,100,0,100,94,0.94,6300,6011.0,0.9541269841269842
79,7800,7900,100,0,100,98,0.98,6400,6109.0,0.95453125
80,7900,8000,100,0,100,89,0.89,6500,6198.0,0.9535384615384616
81,8000,8100,100,0,100,99,0.99,6600,6297.0,0.9540909090909091
82,8100,8200,100,0,100,96,0.96,6700,6393.0,0.9541791044776119
83,8200,8300,100,0,100,97,0.97,6800,6490.0,0.9544117647058824
84,8300,8400,100,0,100,99,0.99,6900,6589.0,0.9549275362318841
85,8400,8500,100,0,100,93,0.93,7000,6682.0,0.9545714285714286
86,8500,8600,100,0,100,97,0.97,7100,6779.0,0.9547887323943662
87,8600,8700,100,0,100,98,0.98,7200,6877.0,0.9551388888888889
88,8700,8800,100,0,100,94,0.94,7300,6971.0,0.954931506849315
89,8800,8900,100,0,100,96,0.96,7400,7067.0,0.955
90,8900,9000,100,0,100,94,0.94,7500,7161.0,0.9548
91,9000,9100,100,0,100,98,0.98,7600,7259.0,0.9551315789473684
92,9100,9200,100,0,100,98,0.98,7700,7357.0,0.9554545454545454
93,9200,9300,100,0,100,96,0.96,7800,7453.0,0.9555128205128205
94,9300,9400,100,0,100,95,0.95,7900,7548.0,0.9554430379746836
95,9400,9500,100,0,100,97,0.97,8000,7645.0,0.955625
96,9500,9600,100,0,100,99,0.99,8100,7744.0,0.9560493827160493
97,9600,9700,100,0,100,96,0.96,8200,7840.0,0.9560975609756097
98,9700,9800,100,0,100,95,0.95,8300,7935.0,0.9560240963855422
99,9800,9900,100,0,100,95,0.95,8400,8030.0,0.955952380952381
100,9900,10000,100,0,100,97,0.97,8500,8127.0,0.9561176470588235
101,10000,10100,100,0,100,98,0.98,8600,8225.0,0.9563953488372093
102,10100,10200,100,0,100,98,0.98,8700,8323.0,0.9566666666666667
103,10200,10300,100,0,100,99,0.99,8800,8422.0,0.9570454545454545
104,10300,10400,100,0,100,94,0.94,8900,8516.0,0.9568539325842697
105,10400,10500,100,0,100,92,0.92,9000,8608.0,0.9564444444444444
106,10500,10600,100,0,100,95,0.95,9100,8703.0,0.9563736263736263
107,10600,10700,100,0,100,97,0.97,9200,8800.0,0.9565217391304348
108,10700,10800,100,0,100,96,0.96,9300,8896.0,0.9565591397849462
109,10800,10900,100,0,100,95,0.95,9400,8991.0,0.9564893617021276
110,10900,11000,100,0,100,98,0.98,9500,9089.0,0.9567368421052631
111,11000,11100,100,0,100,95,0.95,9600,9184.0,0.9566666666666667
112,11100,11200,100,0,100,95,0.95,9700,9279.0,0.9565979381443299
113,11200,11300,100,0,100,95,0.95,9800,9374.0,0.956530612244898
114,11300,11400,100,0,100,98,0.98,9900,9472.0,0.9567676767676768
115,11400,11500,100,0,100,99,0.99,10000,9571.0,0.9571
116,11500,11600,100,0,100,94,0.94,10100,9665.0,0.9569306930693069
117,11600,11700,100,0,100,91,0.91,10200,9756.0,0.9564705882352941
118,11700,11800,100,0,100,95,0.95,10300,9851.0,0.9564077669902913
119,11800,11900,100,0,100,93,0.93,10400,9944.0,0.9561538461538461
120,11900,12000,100,0,100,92,0.92,10500,10036.0,0.9558095238095238
121,12000,12100,100,0,100,95,0.95,10600,10131.0,0.9557547169811321
122,12100,12200,100,0,100,93,0.93,10700,10224.0,0.9555140186915888
123,12200,12300,100,0,100,98,0.98,10800,10322.0,0.9557407407407408
124,12300,12400,100,0,100,94,0.94,10900,10416.0,0.9555963302752294
125,12400,12500,100,0,100,95,0.95,11000,10511.0,0.9555454545454546
126,12500,12600,100,0,100,97,0.97,11100,10608.0,0.9556756756756757
127,12600,12700,100,0,100,96,0.96,11200,10704.0,0.9557142857142857
128,12700,12800,100,0,100,95,0.95,11300,10799.0,0.9556637168141593
129,12800,12900,100,0,100,97,0.97,11400,10896.0,0.9557894736842105
130,12900,13000,100,0,100,92,0.92,11500,10988.0,0.9554782608695652
131,13000,13100,100,0,100,94,0.94,11600,11082.0,0.9553448275862069
