window_size,window_acc,global_acc,macro_f1,global_samples
100,0.88,0.88,0.875,100
100,0.92,0.9,0.9028654686741135,200
100,0.93,0.91,0.9174430947045642,300
100,0.94,0.9175,0.9238964992389649,400
100,0.96,0.926,0.9547715965626413,500
100,0.94,0.9283333333333333,0.9310661764705883,600
100,0.93,0.9285714285714286,0.9225578050669322,700
100,0.98,0.935,0.9782986111111112,800
100,0.97,0.9388888888888889,0.9631947000368053,900
100,0.96,0.941,0.9480249480249481,1000
100,0.98,0.9445454545454546,0.971767363071711,1100
100,0.94,0.9441666666666667,0.932157394843962,1200
100,0.9,0.9407692307692308,0.8831229546517064,1300
100,0.92,0.9392857142857143,0.896049896049896,1400
100,0.94,0.9393333333333334,0.9356499356499357,1500
100,0.98,0.941875,0.9751984126984128,1600
100,0.99,0.9447058823529412,0.9871646771916314,1700
100,0.96,0.9455555555555556,0.9565972222222222,1800
100,0.97,0.9468421052631579,0.9658119658119658,1900
100,0.94,0.9465,0.9356499356499357,2000
100,0.98,0.9480952380952381,0.9766245909303413,2100
100,0.94,0.9477272727272728,0.9375,2200
100,0.96,0.9482608695652174,0.9570999570999571,2300
100,0.96,0.94875,0.956043956043956,2400
100,0.94,0.9484,0.9310661764705883,2500
100,0.96,0.9488461538461539,0.9579655317360235,2600
100,0.95,0.9488888888888889,0.9420692851349786,2700
100,0.94,0.9485714285714286,0.9388004895960832,2800
100,0.95,0.9486206896551724,0.9410307819318315,2900
100,0.94,0.9483333333333334,0.9285714285714286,3000
100,0.96,0.9487096774193549,0.9547715965626413,3100
100,0.93,0.948125,0.9279167953866749,3200
100,0.95,0.9481818181818182,0.9460683852874554,3300
100,0.95,0.9482352941176471,0.9438895746829761,3400
100,0.9,0.9468571428571428,0.8958333333333333,3500
100,0.9,0.9455555555555556,0.8885918003565062,3600
100,0.94,0.9454054054054054,0.932157394843962,3700
100,0.96,0.9457894736842105,0.9579655317360235,3800
100,0.93,0.9453846153846154,0.9188969991889699,3900
100,0.96,0.94575,0.9597423510466989,4000
100,0.94,0.9456097560975609,0.9298737727910238,4100
100,0.93,0.9452380952380952,0.9214454045561665,4200
100,0.98,0.946046511627907,0.9761904761904763,4300
100,0.97,0.946590909090909,0.9663337448097856,4400
100,0.96,0.9468888888888889,0.9492643328259767,4500
100,0.98,0.9476086956521739,0.9796001631986944,4600
100,0.98,0.9482978723404255,0.9787775891341257,4700
100,0.96,0.9485416666666666,0.9589490968801313,4800
100,0.98,0.9491836734693877,0.9733333333333334,4900
100,0.96,0.9494,0.9540441176470589,5000
100,0.91,0.9486274509803921,0.904,5100
100,0.91,0.9478846153846154,0.904973075704783,5200
100,0.89,0.9467924528301886,0.8858802780371408,5300
100,0.96,0.947037037037037,0.9579655317360235,5400
100,0.92,0.9465454545454546,0.9131944444444444,5500
100,0.98,0.9471428571428572,0.9770220588235294,5600
100,0.96,0.9473684210526315,0.9592003263973888,5700
100,0.92,0.9468965517241379,0.9141999141999142,5800
100,0.97,0.9472881355932203,0.9694842844064693,5900
100,0.97,0.9476666666666667,0.9694842844064693,6000
100,0.95,0.9477049180327869,0.9495916927109588,6100
100,0.96,0.9479032258064516,0.9589490968801313,6200
100,0.95,0.947936507936508,0.9454088874331259,6300
100,0.94,0.9478125,0.9388004895960832,6400
100,0.93,0.9475384615384616,0.9299929992999301,6500
100,0.97,0.9478787878787879,0.968324358568261,6600
100,0.95,0.947910447761194,0.9493875898370281,6700
100,0.97,0.9482352941176471,0.969309462915601,6800
100,0.93,0.9479710144927537,0.926090169992609,6900
100,0.97,0.9482857142857143,0.9691071980228607,7000
100,0.94,0.948169014084507,0.9369482976040353,7100
100,0.95,0.9481944444444445,0.9499949994999499,7200
100,0.95,0.9482191780821918,0.9495916927109588,7300
100,0.93,0.947972972972973,0.9279167953866749,7400
100,0.97,0.9482666666666667,0.9694842844064693,7500
100,0.93,0.9480263157894737,0.9279167953866749,7600
100,0.94,0.9479220779220779,0.9369482976040353,7700
100,0.94,0.9478205128205128,0.9391233766233766,7800
100,0.94,0.9477215189873418,0.9399759903961584,7900
100,0.97,0.948,0.9697550156265753,8000
100,0.95,0.9480246913580247,0.9495916927109588,8100
100,0.95,0.9480487804878048,0.9495916927109588,8200
100,0.96,0.9481927710843373,0.9583333333333333,8300
100,0.95,0.9482142857142857,0.9466666666666667,8400
100,0.97,0.9484705882352941,0.9686159640129721,8500
100,0.94,0.9483720930232559,0.9391233766233766,8600
100,0.94,0.9482758620689655,0.9363327674023769,8700
100,0.92,0.9479545454545455,0.9199679871948779,8800
100,0.93,0.947752808988764,0.926090169992609,8900
100,0.95,0.9477777777777778,0.949874686716792,9000
100,0.97,0.9480219780219781,0.968,9100
100,0.96,0.9481521739130435,0.9575551782682512,9200
100,0.9,0.9476344086021505,0.8885918003565062,9300
100,0.95,0.9476595744680851,0.948849104859335,9400
100,0.94,0.9475789473684211,0.9391233766233766,9500
100,0.89,0.9469791666666667,0.8858802780371408,9600
100,0.98,0.947319587628866,0.9797077922077921,9700
100,0.93,0.9471428571428572,0.9235724424063763,9800
100,0.94,0.9470707070707071,0.9384236453201971,9900
100,0.9,0.9466,0.898000815993472,10000
100,0.8,0.9451485148514851,0.7571636716852841,10100
100,0.78,0.9435294117647058,0.7428705002337541,10200
100,0.89,0.943009708737864,0.8620689655172413,10300
100,0.85,0.9421153846153846,0.8196898665705012,10400
100,0.87,0.9414285714285714,0.8541128941757379,10500
100,0.88,0.9408490566037736,0.8681318681318682,10600
100,0.87,0.9401869158878504,0.8331408034912078,10700
100,0.9,0.9398148148148148,0.878581835842642,10800
100,0.95,0.939908256880734,0.939896622190167,10900
100,0.93,0.9398181818181818,0.8963116575322174,11000
100,0.92,0.9396396396396396,0.910873440285205,11100
100,0.94,0.9396428571428571,0.9238964992389649,11200
100,0.95,0.9397345132743363,0.9358233859581568,11300
100,0.94,0.9397368421052632,0.9255952380952381,11400
100,0.94,0.9397391304347826,0.9153020892151327,11500
100,0.97,0.94,0.9594539802676038,11600
100,0.93,0.93991452991453,0.9122257053291536,11700
100,0.98,0.9402542372881356,0.9757163671685285,11800
100,0.94,0.9402521008403362,0.9177631578947368,11900
100,0.97,0.9405,0.9605211212001579,12000
100,0.97,0.9407438016528925,0.9631947000368053,12100
